S75     Pred : IGHV3/OR16-8*02     IGHD4/OR15-4b*01    IGHJ3*01            
        Res  : IGHV3/OR16-8*02     IGHD4/OR15-4a*01    IGHJ3*01            

S76     Pred : IGHV6-1*02          IGHD2-2*02          IGHJ2*01            
        Res  : IGHV6-1*02          IGHD2-2*02          IGHJ2*01            

S77     Pred : IGHV3-15*02         IGHD3-22*01         IGHJ6*03            
        Res  : IGHV3-15*02         IGHD3-22*01         IGHJ6*03            

S78     Pred : IGHV1-69-2*01       No genes            IGHJ6*03            
        Res  : IGHV1-69-2*01       IGHD5-18*01         IGHJ6*03            

S79     Pred : IGHV3-53*01         IGHD5-24*01         IGHJ6*02            
        Res  : IGHV3-53*01         IGHD5-24*01         IGHJ6*02            

S80     Pred : IGHV1-8*01          IGHD3-10*01         IGHJ4*01            
        Res  : IGHV1-8*01          IGHD3-10*02         IGHJ4*01            

S81     Pred : IGHV3-66*02         IGHD3-10*02         IGHJ4*03            
        Res  : IGHV3-66*02         IGHD3-10*02         IGHJ4*03            

S82     Pred : IGHV4-4*05          IGHD4-23*01         IGHJ1*01            
        Res  : IGHV4-4*05          IGHD4-23*01         IGHJ1*01            

S83     Pred : IGHV1-24*01         IGHD1-26*01         IGHJ5*02            
        Res  : IGHV1-24*01         IGHD1-26*01         IGHJ5*02            

S84     Pred : IGHV3-48*02         IGHD2/OR15-2a*01    IGHJ2*01            
        Res  : IGHV3-48*02         IGHD2/OR15-2a*01    IGHJ2*01            

S85     Pred : IGHV3-NL1*01        IGHD5/OR15-5b*01    IGHJ1*01            
        Res  : IGHV3-NL1*01        IGHD5/OR15-5a*01    IGHJ1*01            

S86     Pred : IGHV3-13*03         IGHD1-1*01          IGHJ1*01            
        Res  : IGHV3-13*03         IGHD1-20*01         IGHJ1*01            

S87     Pred : IGHV1/OR15-5*02     IGHD6-25*01         IGHJ3*02            
        Res  : IGHV1/OR15-5*02     IGHD6-13*01         IGHJ3*02            

S88     Pred : IGHV3/OR16-8*01     IGHD1-1*01          IGHJ2*01            
        Res  : IGHV3/OR16-8*01     IGHD1-1*01          IGHJ2*01            

S89     Pred : IGHV3-43*01         No genes            IGHJ4*02            
        Res  : IGHV3-43*01         IGHD1-14*01         IGHJ4*02            

S90     Pred : IGHV3-64D*06        No genes            IGHJ1*01            
        Res  : IGHV3-64D*06        IGHD1-20*01         IGHJ1*01            

S91     Pred : IGHV2-5*08          IGHD6-25*01         IGHJ3*02            
        Res  : IGHV2-5*08          IGHD4-23*01         IGHJ3*02            

S92     Pred : IGHV4-61*06         IGHD6-25*01         IGHJ3*01            
        Res  : IGHV4-61*06         IGHD5-18*01         IGHJ3*01            

S93     Pred : IGHV4/OR15-8*02     IGHD3-22*01         IGHJ6*04            
        Res  : IGHV4/OR15-8*02     IGHD3-22*01         IGHJ6*04            

S94     Pred : IGHV1-69*01         IGHD5-18*01         IGHJ3*01            
        Res  : IGHV1-69D*01        IGHD5-12*01         IGHJ3*01            

S95     Pred : IGHV3-53*01         IGHD3-16*01         IGHJ4*02            
        Res  : IGHV3-66*03         IGHD7-27*01         IGHJ4*02            

S96     Pred : IGHV3-30-3*01       IGHD4-17*01         IGHJ4*03            
        Res  : IGHV3-30-3*01       IGHD6-6*01          IGHJ4*03            

S97     Pred : IGHV1-2*01          IGHD2-15*01         IGHJ3*01            
        Res  : IGHV1-2*01          IGHD2-15*01         IGHJ3*01            

S98     Pred : IGHV3-43D*01        IGHD2/OR15-2a*01    IGHJ2*01            
        Res  : IGHV3-43D*01        IGHD4/OR15-4a*01    IGHJ2*01            

S99     Pred : IGHV3-64D*06        IGHD1-7*01          IGHJ6*04            
        Res  : IGHV3-64D*06        IGHD1-20*01         IGHJ6*04            

S100    Pred : IGHV4-34*10         IGHD4-17*01         IGHJ3*01            
        Res  : IGHV4-34*10         IGHD4-17*01         IGHJ3*01            

S101    Pred : IGHV3-64D*06        IGHD5-24*01         IGHJ3*01            
        Res  : IGHV3-64D*06        IGHD5-24*01         IGHJ3*01            

S102    Pred : IGHV2/OR16-5*01     IGHD3-3*01          IGHJ6*03            
        Res  : IGHV2/OR16-5*01     IGHD3-3*01          IGHJ6*03            

S103    Pred : IGHV7-4-1*03        IGHD1-7*01          IGHJ6*03            
        Res  : IGHV7-4-1*02        IGHD1-7*01          IGHJ6*03            

S104    Pred : IGHV1-24*01         No genes            IGHJ4*01            
        Res  : IGHV1-24*01         IGHD1-1*01          IGHJ4*01            

S105    Pred : IGHV2/OR16-5*01     No genes            IGHJ1*01            
        Res  : IGHV2/OR16-5*01     IGHD1/OR15-1a*01    IGHJ1*01            

S106    Pred : IGHV3/OR15-7*01     IGHD1-26*01         IGHJ4*03            
        Res  : IGHV3/OR15-7*03     IGHD1-26*01         IGHJ4*03            

S107    Pred : IGHV5-51*02         IGHD2/OR15-2b*01    IGHJ5*02            
        Res  : IGHV5-51*02         IGHD2/OR15-2a*01    IGHJ5*02            

S108    Pred : IGHV4-38-2*01       IGHD2-21*02         IGHJ6*02            
